Wall time,Step,Value
1517003952.8493538,10000,30.306312561035156
1517004103.607765,20000,13.073187828063965
1517004262.5356884,30000,0.7417184114456177
1517004394.095631,40000,-7.0289692878723145
1517004552.5277421,50000,-5.952687740325928
1517004689.5343661,60000,-8.121031761169434
1517004828.2636142,70000,-6.170469284057617
1517004978.1039069,80000,0.7354059219360352
1517005121.6642997,90000,-9.834875106811523
1517005256.7788258,100000,-6.435594081878662
1517005385.2201455,110000,-9.999000549316406
1517005514.7626128,120000,-9.999000549316406
1517005643.6676493,130000,-9.980063438415527
1517005794.4123964,140000,77.81734466552734
1517005948.7220182,150000,72.2686538696289
1517006092.522753,160000,45.56993865966797
1517006234.5413368,170000,10.355655670166016
1517006388.4223588,180000,8.130499839782715
1517006617.432267,190000,121.25997161865234
1517006990.27046,200000,601.1646118164062
1517007235.2615058,210000,204.6449432373047
1517007430.806721,220000,80.69268798828125
1517007630.174194,230000,37.69509506225586
1517007814.0514066,240000,19.50878143310547
1517007986.0891063,250000,31.65403175354004
1517008145.832388,260000,6.02843713760376
1517008303.2292335,270000,-1.0478752851486206
1517008466.0338798,280000,-6.861688137054443
1517008633.4663265,290000,-2.2472503185272217
1517008804.2691069,300000,3.5002810955047607
1517008967.3486538,310000,-9.48453140258789
1517009120.1239345,320000,-9.809625625610352
1517009332.2714968,330000,-9.752813339233398
1517009501.747191,340000,-9.673906326293945
1517009668.124075,350000,-7.562375545501709
1517009839.135782,360000,-3.544469118118286
1517010011.5771728,370000,-2.834312915802002
1517010207.8833976,380000,-9.149969100952148
1517010412.979659,390000,-9.13103199005127
1517010623.2430437,400000,-3.9863440990448
1517010813.4431796,410000,-7.979000568389893
1517010971.6292772,420000,-5.4508442878723145
1517011125.7293813,430000,2.1052184104919434
1517011278.263061,440000,10.88906192779541
1517011435.6015236,450000,11.520312309265137
1517011623.311265,460000,35.968624114990234
1517011821.0749686,470000,49.24696731567383
1517012053.297917,480000,117.95537567138672
1517012280.7612147,490000,111.696533203125
1517012480.8387372,500000,100.5581283569336
1517012717.2451055,510000,157.38009643554688
1517012899.573338,520000,-7.732812881469727
1517013132.244434,530000,82.3434066772461
1517013355.4472792,540000,21.999061584472656
1517013619.998878,550000,-7.044750213623047
1517013797.1267517,560000,-5.343531608581543
1517013958.6805494,570000,-9.121562957763672
1517014105.4602792,580000,-9.607625007629395
1517014255.1471596,590000,-9.834875106811523
1517014394.4773765,600000,-6.732281684875488
1517014543.639697,610000,20.78706169128418
1517014689.9226315,620000,14.076874732971191
1517014837.944325,630000,15.809656143188477
1517014986.5840354,640000,23.252094268798828
1517015135.8766344,650000,19.02271842956543
1517015285.7271655,660000,31.609844207763672
1517015432.3146894,670000,20.187374114990234
1517015583.1531894,680000,19.474061965942383
1517015727.5774398,690000,12.154718399047852
1517015878.5074444,700000,23.892812728881836
1517016031.9392102,710000,36.19587707519531
1517016183.298304,720000,30.15481185913086
1517016335.196368,730000,29.788686752319336
1517016485.7519271,740000,23.74131202697754
1517016637.9404008,750000,30.814468383789062
1517016784.748959,760000,16.257843017578125
1517016933.7151914,770000,20.998531341552734
1517017085.5740976,780000,31.53093719482422
1517017236.322642,790000,32.301063537597656
1517017391.5378187,800000,33.901283264160156
1517017541.0015156,810000,26.922813415527344
1517017696.0372977,820000,46.75037384033203
1517017847.84753,830000,27.964374542236328
1517017998.2395382,840000,30.328407287597656
1517018151.6696799,850000,34.50412368774414
1517018307.6560297,860000,40.87659454345703
1517018462.1936235,870000,42.483123779296875
1517018618.1309001,880000,44.4747200012207
1517018774.4720473,890000,46.99656295776367
1517018930.8171933,900000,45.913970947265625
1517019086.7554705,910000,46.38740539550781
1517019243.420353,920000,48.416873931884766
1517019405.0622501,930000,48.08546829223633
1517019566.1334858,940000,47.441593170166016
1517019730.4641948,950000,45.94237518310547
1517019888.8435423,960000,45.59834289550781
1517020051.850317,970000,45.06178283691406
1517020216.9768,980000,45.34584426879883
1517020372.074513,990000,45.481563568115234
1517020527.544474,1000000,45.860313415527344
